분야,교육과정,회사명,CNT,Year,직무,String1,보유기술
IT·프로그래밍,웹디자인(웹퍼블리셔) 프론트앤드 실무자 양성과정,MotiveE,1,2020,웹디자이너,웹디자인(웹퍼블리셔),"HTML, CSS, JSP"
IT·프로그래밍,유니티를 활용한게임프로그래밍개발자(Uvity),스마일게이트엔터테인먼트,1,2020,크로스파이어2QA,유니티를,JAVA
IT·프로그래밍,"빅데이터 분석을 위한 AI(머신러닝,딥러닝)응용소프트웨어 개발자",파킹클라우드,1,2020,백엔드개발,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,유니티를 활용한 게임프로그래밍개발자(unity),천재교과서,1,2020,"유니티 로 앱,게임 개발",유니티를,JAVA
IT·프로그래밍,"파이썬빅데이터개발,분석전문가(머신러닝,딥러닝)",버프스튜디오,1,2020,게임개발자,"파이썬빅데이터개발,분석전문가(머신러닝,딥러닝)",Python 
IT·프로그래밍,"파이썬빅데이터개발,분석전문가(머신러닝,딥러닝)",에코시안,1,2020,인공지능연구원,"파이썬빅데이터개발,분석전문가(머신러닝,딥러닝)",Python 
IT·프로그래밍,"빅데이터 분석을 위한 AI(머신러닝,딥러닝)응용소프트웨어 개발자",(주)이노팸,1,2020,파이썬 백엔드,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,하이브리드 앱개발(IOS&안드로이드) 및 웹개발자 양성과정,(주)날리지포인트,1,2020,IOS개발,하이브리드,Flutter
IT·프로그래밍,스마트플랫폼기반웹&앱(UI/UX)콘텐츠개발,(주)트래포트,1,2020,프론트엔드,스마트플랫폼기반웹&앱(UI/UX)콘텐츠개발,"안드로이드, IOS, JAVA, HTML"
IT·프로그래밍,"빅데이터분석을 위한 AI(머신러닝,딥러닝)응용소프트웨어 개발자",(주)더원테크,1,2020,데이터분석,빅데이터분석을,"JAVA, JSP, SQL, Python"
IT·프로그래밍,하이브리드 앱개발(IOS&안드로이드) 및 웹개발자 양성과정,씨앤티미디어그룹,1,2020,앱개발,하이브리드,Flutter
IT·프로그래밍,"빅데이터분석을 위한 AI(머신러닝,딥러닝)응용소프트웨어 개발자",(주)메디리타,1,2020,빅데이터분석,빅데이터분석을,"JAVA, JSP, SQL, Python"
IT·프로그래밍,"빅데이터분석을 위한 AI(머신러닝,딥러닝)응용소프트웨어 개발자",(주)엔셀,1,2020,딥러닝프로그래머,빅데이터분석을,"JAVA, JSP, SQL, Python"
IT·프로그래밍,"빅데이터분석을 위한 AI(머신러닝,딥러닝)",(주)웹비즈,1,2020,웹개발,빅데이터분석을,"JAVA, JSP, SQL, Python"
IT·프로그래밍,"빅데이터 분석을 위한 AI(머신러닝,딥러닝)응용소프트웨어 개발자",포뎁스,1,2020,개발,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,"빅데이터 분석을 위한 AI(머신러닝,딥러닝)응용소프트웨어 개발자",(주)뉴본홀딩스,1,2020,컨설팅,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,하이브리드 앱개발(IOS&안드로이드) 및 웹개발자 양성과정,지앤비소프텍,1,2020,SI개발자,하이브리드,Flutter
IT·프로그래밍,하이브리드 앱개발(IOS&안드로이드) 및 웹개발자 양성과정,(주)인디펜던트,1,2020,앱개발,하이브리드,Flutter
IT·프로그래밍,하이브리드 앱개발(IOS&안드로이드) 및 웹개발자 양성과정,매일정보기술,1,2020,소프트웨어개발,하이브리드,Flutter
IT·프로그래밍,하이브리드 앱개발(IOS&안드로이드) 및 웹개발자 양성과정,미식의시대,1,2020,앱개발자,하이브리드,Flutter
IT·프로그래밍,하이브리드 앱개발(IOS&안드로이드) 및 웹개발자 양성과정,(주)메이드인랩,1,2020,자바개발자,하이브리드,Flutter
IT·프로그래밍,"파이썬빅데이터개발,분석전문가 (머신러닝,딥러닝)",ZCOST,1,2020,데이터 애널리스트,"파이썬빅데이터개발,분석전문가","Python, JAVA, JSP, SQL, Python"
IT·프로그래밍,하이브리드 앱개발(IOS&안드로이드) 및 웹개발자 양성과정,상생소프트,1,2020,SI개발,하이브리드,Flutter
IT·프로그래밍,빅데이터 분석(R)을 위한 자바개발자,오픈핸즈(주),1,2020,s/w TEST,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,"정보보안(네트워크,서버)엔지니어 양성과정",제노솔루션(주),1,2020,정보보안솔루션,"정보보안(네트워크,서버)엔지니어","네트워크, 서버"
IT·프로그래밍,"빅데이터분석®을 위한 자바,파이선개발자",진운 주식회사,1,2020,웹개발,빅데이터분석®을,"JAVA, JSP, SQL, Python, R "
IT·프로그래밍,"빅데이터분석R을위한 자바,파이선개발자",㈜에이아이넷,1,2020,자바개발자,빅데이터분석R을위한,"JAVA, JSP, SQL, Python, R"
IT·프로그래밍,"정보보안(네트워크,서버)엔지니어 양성과정",(주)엔셀,1,2020,"IT솔루션,서버관리","정보보안(네트워크,서버)엔지니어","네트워크, 서버"
IT·프로그래밍,"빅데이터 분석을 위한 AI(머신러닝,딥러닝)응용소프트웨어 개발자",메이븐코리아(주),1,2020,Data&BI 컨설팅 및 개발,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,"빅데이터분석®을 위한 자바,파이선개발자",전속력,1,2020,웹서비스개발 및 쇼핑몰운영,빅데이터분석®을,"JAVA, JSP, SQL, Python, R "
IT·프로그래밍,하이브리드 앱개발(IOS&안드로이드) 및 웹개발자 양성과정,(주)두손소프트,1,2020,IOS개발,하이브리드,Flutter
IT·프로그래밍,"정보보안(네트워크,서버)엔지니어 양성과정",제스트 씨앤티,1,2020,보안관리,"정보보안(네트워크,서버)엔지니어","네트워크, 서버"
IT·프로그래밍,[정보처리산업기사]자바(JAVA)기반 하이브리드 앱개발-과정평가형자격-B,아이네크,1,2020,개발기술지원,[정보처리산업기사]자바(JAVA)기반,JAVA
IT·프로그래밍,머신러닝 플랫폼을 활용한 AI응용소프트웨어 빅데이터분석개발자,지오앤,1,2020,데이터분석(머신러닝),머신러닝,"Python, R"
IT·프로그래밍,"빅데이터 분석(R)을 위한 자바,파이선 개발자",(주)이스트시큐리티,1,2020,서비스기획,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,웹퍼블리셔(웹디자인)UI/UX 프론트앤드양성과정,SGA,1,2020,웹디자이너 겸 퍼블리셔,웹퍼블리셔(웹디자인)UI/UX,"HTML, CSS, JSP ,JAVA"
IT·프로그래밍,"사물인터넷((IOT)임베디드응용SW개발자(자바,파이썬)",퓨처웨어,1,2020,관리부,"사물인터넷((IOT)임베디드응용SW개발자(자바,파이썬)","JAVA, Python"
IT·프로그래밍,하이브리드 앱개발(IOS&안드로이드) 및 웹 개발자 양성과정,주식회사 나인와트,1,2020,안드로이드 웹 서버,하이브리드,Flutter
IT·프로그래밍,"정보보안(네트워크,서버)엔지니어 양성과정",핀시큐리티시스템,1,2020,모의해킹,"정보보안(네트워크,서버)엔지니어","네트워크, 서버"
IT·프로그래밍,"정보보안(네트워크,서버)엔지니어 양성과정",킹스정보통신(주),1,2020,개발기술지원,"정보보안(네트워크,서버)엔지니어","네트워크, 서버"
IT·프로그래밍,"정보보안(네트워크,서버)엔지니어 양성과정",핀시큐리티시스템,1,2020,모의해킹,"정보보안(네트워크,서버)엔지니어","네트워크, 서버"
IT·프로그래밍,"정보보안(네트워크,서버)엔지니어 양성과정",(주)시스원,1,2020,엔지니어,"정보보안(네트워크,서버)엔지니어","네트워크, 서버"
IT·프로그래밍,"정보보안(네트워크,서버)엔지니어 양성과정",주식회사 엠시큐어,1,2020,보안솔루션개발,"정보보안(네트워크,서버)엔지니어","네트워크, 서버"
IT·프로그래밍,하이브리드 앱개발(IOS&안드로이드) 및 웹 개발자 양성과정,주식회사 디플럭스씨앤씨,1,2020,안드로이드 앱 개발,하이브리드,Flutter
IT·프로그래밍,웹퍼블리셔(웹디자인)UIUX프론트엔드 양성과정 5회차,(주)더에듀클라우드닷컴,1,2020,디자인,웹퍼블리셔(웹디자인)UIUX프론트엔드,"HTML, CSS, JSP "
IT·프로그래밍,웹퍼블리셔(웹디자인)UIUX프론트엔드 양성과정-5회차,주식회사 트렌드헌터,1,2020,커머스팀,웹퍼블리셔(웹디자인)UIUX프론트엔드,"HTML, CSS, JSP "
IT·프로그래밍,(NCS)자바(JAVA)기반하이브리드앱개발,(주)아이엑세스,1,2020,웹프로그래머,(NCS)자바(JAVA)기반하이브리드앱개발,"JAVA, Flutter"
IT·프로그래밍,"빅데이터분석R을위한 자바,파이선개발자",(주)자이플래닛,1,2020,프로그램 연구및 개발업무,빅데이터분석R을위한,"JAVA, JSP, SQL, Python, R"
IT·프로그래밍,"하이브리드웹&앱 (안드로이드,IOS)개발자",주식회사 드림메이커,1,2020,안드로이드 개발,하이브리드웹&앱,"Flutter , 안드로이드, IOS, JAVA, HTML"
IT·프로그래밍,"정보보안(네트워크,서버엔지니어)양성과정-1",주식회사 한누비아이티,1,2020,IT0 사업부,"정보보안(네트워크,서버엔지니어)양성과정-1","네트워크, 서버"
IT·프로그래밍,머신러닝 플랫폼을 활용한 AI응용소프트웨어 빅데이터분석개발자,(주)비자림,1,2020,인공지능비전검사,머신러닝,"Python, R"
IT·프로그래밍,사물인터넷(IOT)임베디드응용SW개발자,주식회사 트리티즈,1,2020,기술연구원,사물인터넷(IOT)임베디드응용SW개발자," JAVA, Python"
IT·프로그래밍,"정보보안(네트워크,서버)엔지니어링 양성과정",(주)찬영씨엔씨,1,2020,보안네트워크,"정보보안(네트워크,서버)엔지니어링","네트워크, 서버"
IT·프로그래밍,"빅데이터분석R을위한 자바,파이선개발자",(주)희남,1,2020,스크래핑 모듈 개발 및 유지,빅데이터분석R을위한,"JAVA, JSP, SQL, Python, R"
IT·프로그래밍,빅데이터분석R을위한 자바개발자,(주)풍농,1,2020,데이터활용전산업무,빅데이터분석R을위한,"JAVA, JSP, SQL, Python, R"
IT·프로그래밍,빅데이터분석R을위한 자바개발자,(주)지뉴소프트,1,2020,AI융합 개발팀,빅데이터분석R을위한,"JAVA, JSP, SQL, Python, R"
IT·프로그래밍,"정보보안(네트워크,서버)엔지니어 양성과정",주식회사 코어브릿지,1,2020,네트워크 유지보수 및관리,"정보보안(네트워크,서버)엔지니어","네트워크, 서버"
